RowID,Post,Image Drawn,Post Interest,Like Possibility,Comment Possibility,Share Possibility,Caption_Length,Hashtags
Post2_0,2,11,5,4,3,3,140,15
Post2_1,2,9,3,2,1,1,5,15
Post2_2,2,12,4,5,2,2,200,15
Post2_3,2,10,3,2,1,1,70,15
Post2_4,2,2,3,3,3,2,70,5
Post2_5,2,1,5,1,1,1,5,5
Post2_6,2,4,4,3,3,2,200,5
Post2_7,2,1,4,2,1,1,5,5
Post2_8,2,3,3,2,1,2,140,5
Post2_9,2,11,3,1,1,1,140,15
Post2_10,2,10,3,1,1,1,70,15
Post2_11,2,5,3,2,1,1,5,11
Post2_12,2,8,5,3,2,1,200,11
Post2_13,2,12,3,1,1,1,200,15
Post2_14,2,2,3,1,2,4,70,5
Post2_15,2,6,3,3,1,1,70,11
Post2_16,2,12,3,1,1,1,200,15
Post2_17,2,2,3,2,2,3,70,5
Post2_18,2,4,4,1,1,2,200,5
Post2_19,2,10,3,1,1,1,70,15
Post2_20,2,2,4,4,1,3,70,5
Post2_21,2,7,5,5,5,5,140,11
Post2_22,2,5,4,2,1,1,5,11
Post2_23,2,4,4,3,1,2,200,5
Post2_24,2,1,4,5,1,1,5,5
Post2_25,2,8,4,4,3,3,200,11
Post2_26,2,12,4,5,1,1,200,15
Post2_27,2,7,3,1,1,1,140,11
Post2_28,2,5,3,1,1,1,5,11
Post2_29,2,4,5,1,1,1,200,5
Post2_30,2,2,4,3,3,3,70,5
Post2_31,2,7,3,1,2,1,140,11
Post2_32,2,1,4,4,2,2,5,5
Post2_33,2,12,4,1,1,1,200,15
Post2_34,2,9,4,1,1,1,5,15
Post2_35,2,7,3,1,1,1,140,11
Post2_36,2,11,4,3,1,1,140,15
Post2_37,2,2,3,4,2,2,70,5
Post2_38,2,9,3,2,1,1,5,15
Post2_39,2,10,4,2,1,1,70,15
Post2_40,2,5,3,1,1,1,5,11
Post2_41,2,6,3,1,1,1,70,11
Post2_42,2,3,4,1,1,1,140,5
Post2_43,2,4,3,1,1,1,200,5
Post2_44,2,4,3,1,1,1,200,5
Post2_45,2,10,4,1,1,1,70,15
Post2_46,2,5,3,3,3,3,5,11
Post2_47,2,11,5,5,1,3,140,15
Post2_48,2,2,3,1,1,1,70,5
Post2_49,2,9,3,2,1,1,5,15
Post2_50,2,6,4,5,1,4,70,11
Post2_51,2,12,4,1,1,1,200,15
Post2_52,2,6,3,2,1,1,70,11
Post2_53,2,12,4,3,1,2,200,15
Post2_54,2,2,4,1,1,1,70,5
Post2_55,2,3,4,3,2,2,140,5
Post2_56,2,11,4,5,5,5,140,15
Post2_57,2,8,3,2,3,2,200,11
Post2_58,2,10,3,3,2,3,70,15
Post2_59,2,5,3,2,1,2,5,11
Post2_60,2,1,4,3,1,2,5,5
Post2_61,2,7,5,5,5,5,140,11
Post2_62,2,1,5,2,1,1,5,5
Post2_63,2,4,5,4,3,3,200,5
Post2_64,2,11,5,5,5,4,140,15
Post2_65,2,8,3,1,1,1,200,11
Post2_66,2,10,3,2,1,3,70,15
Post2_67,2,6,4,4,1,3,70,11
Post2_68,2,9,3,1,1,1,5,15
Post2_69,2,7,5,5,5,5,140,11
Post2_70,2,3,5,5,5,4,140,5
Post2_71,2,2,4,3,3,2,70,5
Post2_72,2,1,5,1,1,1,5,5
Post2_73,2,12,3,3,3,2,200,15
Post2_74,2,5,4,5,5,5,5,11
Post2_75,2,5,3,4,1,1,5,11
Post2_76,2,7,5,5,5,5,140,11
Post2_77,2,4,3,2,1,1,200,5
Post2_78,2,9,4,2,1,1,5,15
Post2_79,2,2,4,3,1,2,70,5
Post2_80,2,10,4,2,2,2,70,15
Post2_81,2,3,5,5,5,4,140,5
Post2_82,2,5,3,3,1,1,5,11
Post2_83,2,6,4,3,3,3,70,11
Post2_84,2,9,4,1,1,1,5,15
Post2_85,2,11,5,5,5,4,140,15
Post2_86,2,4,4,4,3,3,200,5
Post2_87,2,12,4,4,3,3,200,15
Post2_88,2,7,5,5,5,5,140,11
Post2_89,2,1,3,1,1,1,5,5
Post2_90,2,10,5,5,2,2,70,15
Post2_91,2,3,5,5,5,4,140,5
Post2_92,2,6,5,4,3,2,70,11
Post2_93,2,4,4,4,3,2,200,5
Post2_94,2,3,5,5,5,3,140,5
Post2_95,2,5,3,3,2,2,5,11
Post2_96,2,11,4,4,1,1,140,15
Post2_97,2,12,4,4,3,3,200,15
Post2_98,2,8,4,4,4,2,200,11
Post2_99,2,2,4,3,3,2,70,5
Post2_100,2,3,5,5,5,4,140,5
Post2_101,2,7,5,5,5,5,140,11
Post2_102,2,12,3,4,1,1,200,15
Post2_103,2,11,3,1,1,1,140,15
Post2_104,2,8,4,4,3,3,200,11
Post2_105,2,10,4,4,3,3,70,15
Post2_106,2,4,4,3,3,3,200,5
Post2_107,2,1,5,1,1,1,5,5
Post2_108,2,9,3,2,2,1,5,15
Post2_109,2,5,3,3,2,1,5,11
Post2_110,2,6,4,4,3,2,70,11
Post2_111,2,8,5,4,3,3,200,11
Post2_112,2,10,3,3,2,1,70,15
Post2_113,2,2,4,3,2,2,70,5
Post2_114,2,7,5,5,5,5,140,11
Post2_115,2,1,3,2,1,1,5,5
Post2_116,2,4,4,4,2,2,200,5
Post2_117,2,9,3,2,1,1,5,15
Post2_118,2,5,3,2,1,1,5,11
Post2_119,2,6,4,3,2,2,70,11
Post2_120,2,11,5,5,4,3,140,15
Post2_121,2,12,5,5,4,4,200,15
Post2_122,2,12,4,4,4,2,200,15
Post2_123,2,5,4,2,1,1,5,11
Post2_124,2,11,5,5,4,3,140,15
Post2_125,2,4,4,4,3,1,200,5
Post2_126,2,7,5,5,5,5,140,11
Post2_127,2,1,3,1,1,1,5,5
Post2_128,2,8,5,4,4,4,200,11
Post2_129,2,9,3,1,1,1,5,15
Post2_130,2,6,3,3,3,2,70,11
Post2_131,2,3,5,5,4,3,140,5
Post2_132,2,12,4,4,3,3,200,15
Post2_133,2,10,3,5,2,2,70,15
Post2_134,2,7,4,4,1,2,140,11
Post2_135,2,11,5,5,4,4,140,15
Post2_136,2,9,3,1,1,1,5,15
Post2_137,2,4,4,4,3,3,200,5
Post2_138,2,8,4,4,4,3,200,11
Post2_139,2,2,3,2,1,1,70,5
Post2_140,2,1,4,1,1,1,5,5
Post2_141,2,5,4,1,1,1,5,11
Post2_142,2,11,5,5,4,4,140,15
Post2_143,2,9,3,2,1,1,5,15
Post2_144,2,4,4,4,4,2,200,5
Post2_145,2,10,4,3,2,2,70,15
Post2_146,2,7,5,5,5,5,140,11
Post2_147,2,6,3,3,2,2,70,11
Post2_148,2,5,5,1,1,1,5,11
Post2_149,2,2,3,3,3,3,70,5
Post2_150,2,3,5,5,5,3,140,5
Post2_151,2,8,4,4,4,3,200,11
