CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,P101,P201_CP,P201,P206,P202,P203,P204,P205,SD01,SD02_01,SD10,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
75,,,Survey,interview,2025-01-27 11:16:12,1,0,11,3,4,3,3,2,1,27,1,6,5,15,35,9,11,8,89,,2025-01-27 11:17:41,,1,0,7,7,0,0,0.91
77,,,Survey,interview,2025-01-27 11:25:32,1,0,10,3,4,3,3,3,2,22,1,2,2,13,7,5,8,9,46,,2025-01-27 11:26:19,,1,0,7,7,0,0,1.63
87,,,Survey,interview,2025-01-27 11:31:30,1,0,7,3,4,1,1,1,1,20,1,14,1,36,13,24,12,7,107,,2025-01-27 11:33:17,,1,0,7,7,0,0,1.06
91,,,Survey,interview,2025-01-27 11:33:07,1,0,6,3,4,5,2,2,2,24,2,2,3,25,25,20,26,21,122,,2025-01-27 11:35:09,,1,0,7,7,0,0,0.73
95,,,Survey,interview,2025-01-27 11:34:52,1,0,2,3,2,3,1,1,1,21,1,21,2,17,15,17,20,7,81,,2025-01-27 11:36:31,,1,0,7,7,0,0,0.89
102,,,Survey,interview,2025-01-27 11:37:56,1,1,10,3,4,4,2,1,2,21,1,7,2,33,11,5,15,9,82,,2025-01-27 11:39:18,,1,0,7,7,0,0,1.18
106,,,Survey,interview,2025-01-27 11:45:07,1,1,11,3,5,4,4,4,1,24,1,3,2,47,8,3,8,6,77,,2025-01-27 11:46:24,,1,0,7,7,0,0,1.45
109,,,Survey,interview,2025-01-27 11:50:00,1,1,12,3,4,2,1,3,1,22,1,62,3,130,57,28,51,16,94,,2025-01-27 11:55:47,,1,0,7,7,0,0,0.38
111,,,Survey,interview,2025-01-27 12:07:16,1,1,1,3,4,2,1,1,2,28,1,3,3,5,7,7,24,8,57,,2025-01-27 12:08:13,,1,0,7,7,0,0,1.49
119,,,Survey,interview,2025-01-27 15:43:03,1,1,7,3,5,5,5,5,1,28,1,3,7,21,6,10,11,17,75,,2025-01-27 15:44:18,,1,0,7,7,0,0,1.06
132,,,Survey,interview,2025-01-27 16:37:30,1,2,12,3,3,4,1,2,2,19,1,12,11,269,43,55,16,12,160,,2025-01-27 16:44:28,,1,0,7,7,0,0,0.36
133,,,Survey,interview,2025-01-27 16:37:32,1,2,8,3,4,1,1,1,1,27,1,7,3,78,25,41,14,22,176,,2025-01-27 16:40:42,,1,0,7,7,0,0,0.52
139,,,Survey,interview,2025-01-27 16:40:16,1,2,1,3,1,1,1,1,1,19,1,2,2,10,9,33,12,19,87,,2025-01-27 16:41:43,,1,0,7,7,0,0,1.14
142,,,Survey,interview,2025-01-27 16:41:37,1,2,6,3,2,2,1,1,1,22,1,4,5,36,22,8,15,53,98,,2025-01-27 16:44:00,,1,0,7,7,0,0,0.74
143,,,Survey,interview,2025-01-27 16:42:13,1,2,2,3,5,4,3,3,2,19,1,1,2,7,10,19,11,10,60,,2025-01-27 16:43:13,,1,0,7,7,0,0,1.53
144,,,Survey,interview,2025-01-27 16:42:17,1,3,11,3,4,1,1,1,1,21,1,7,2,48,18,12,26,10,123,,2025-01-27 16:44:20,,1,0,7,7,0,0,0.79
146,,,Survey,interview,2025-01-27 16:43:24,1,3,7,2,1,1,1,1,1,26,1,6,2,6,33,7,9,18,81,,2025-01-27 16:44:45,,1,0,7,7,0,0,1.32
150,,,Survey,interview,2025-01-27 16:46:21,1,3,5,3,3,1,1,4,1,25,1,6,7,21,19,271,24,10,103,,2025-01-27 16:52:19,,1,0,7,7,0,0,0.54
158,,,Survey,interview,2025-01-27 16:54:04,1,4,12,3,3,4,1,1,1,21,1,79,2,87,16,22,13,8,83,,2025-01-27 16:57:51,,1,0,7,7,0,0,0.73
159,,,Survey,interview,2025-01-27 16:56:28,1,4,11,3,3,1,1,1,1,25,1,15,4,66,20,56,12,9,182,,2025-01-27 16:59:30,,1,0,7,7,0,0,0.57
160,,,Survey,interview,2025-01-27 16:58:48,1,4,2,5,3,2,3,3,1,22,1,8,4,15,33,6,30,10,106,,2025-01-27 17:00:34,,1,0,7,7,0,0,0.93
165,,,Survey,interview,2025-01-27 17:08:43,1,4,6,3,4,1,1,2,1,24,1,7,3,55,22,70,13,42,124,,2025-01-27 17:12:15,,1,0,7,7,0,0,0.51
